LAUNCHED,YPR1,YPR2,YPR3,ACCELREALZ
0,-2.78,0.05,-0.24,-18524
9,-2.74,0.05,-0.25,-18941
14,-2.71,0.05,-0.26,-19271
24,-2.67,0.06,-0.27,-19457
34,-2.63,0.07,-0.28,-19685
44,-2.60,0.07,-0.29,-19814
54,-2.56,0.08,-0.30,-19868
64,-2.52,0.09,-0.31,-19907
74,-2.49,0.09,-0.32,-19973
83,-2.45,0.10,-0.32,-20073
94,-2.41,0.11,-0.33,-20156
104,-2.37,0.12,-0.33,-20211
114,-2.33,0.13,-0.34,-20207
123,-2.30,0.14,-0.34,-20238
134,-2.26,0.15,-0.34,-20271
144,-2.22,0.16,-0.34,-20273
154,-2.18,0.17,-0.35,-20273
166,-2.13,0.19,-0.35,-20251
174,-2.09,0.20,-0.35,-20249
184,-2.05,0.21,-0.34,-20264
194,-2.01,0.22,-0.34,-20168
204,-1.97,0.24,-0.34,-20114
214,-1.93,0.25,-0.34,-20053
224,-1.89,0.26,-0.33,-19966
234,-1.85,0.28,-0.33,-19885
244,-1.82,0.29,-0.32,-19892
253,-1.78,0.30,-0.32,-19897
264,-1.74,0.31,-0.31,-19802
274,-1.70,0.33,-0.31,-19663
283,-1.66,0.34,-0.30,-19938
293,-1.63,0.35,-0.29,-20180
304,-1.59,0.37,-0.28,-20196
314,-1.55,0.38,-0.27,-20209
323,-1.52,0.39,-0.27,-20252
333,-1.48,0.40,-0.26,-20268
347,-1.45,0.41,-0.25,-20286
354,-1.41,0.43,-0.24,-20307
364,-1.38,0.44,-0.23,-20301
373,-1.35,0.45,-0.22,-20430
384,-1.31,0.46,-0.20,-20522
394,-1.28,0.47,-0.19,-20589
404,-1.24,0.48,-0.18,-20650
413,-1.21,0.49,-0.17,-20637
423,-1.17,0.49,-0.16,-20613
434,-1.14,0.50,-0.15,-20600
443,-1.10,0.51,-0.13,-20595
453,-1.07,0.52,-0.12,-20582
463,-1.03,0.52,-0.11,-20566
474,-1.00,0.53,-0.09,-20524
483,-0.96,0.53,-0.08,-20474
493,-0.93,0.54,-0.06,-20460
520,-0.86,0.55,-0.03,-20360
543,-0.79,0.56,0.00,-20232
570,-0.68,0.57,0.06,-20033
595,-0.61,0.57,0.11,-19923
620,-0.50,0.57,0.17,-19797
646,-0.42,0.56,0.22,-19739
669,-0.31,0.54,0.29,-19661
695,-0.24,0.53,0.34,-19532
719,-0.14,0.50,0.41,-19383
745,-0.07,0.47,0.45,-19353
769,0.03,0.44,0.50,-19195
794,0.10,0.41,0.54,-19114
819,0.20,0.36,0.59,-19038
844,0.26,0.32,0.62,-18978
868,0.33,0.29,0.64,-18878
892,0.43,0.22,0.68,-18818
918,0.49,0.18,0.70,-18679
942,0.58,0.12,0.73,-18569
968,0.65,0.07,0.75,-18415
992,0.74,-0.01,0.77,-18290
1020,0.84,-0.09,0.78,-18081
1046,0.91,-0.15,0.79,-17982
1070,1.01,-0.25,0.79,-17779
1096,1.08,-0.31,0.79,-17665
1120,1.18,-0.41,0.79,-17401
1145,1.24,-0.48,0.77,-17207
1170,1.34,-0.58,0.75,-17003
1196,1.40,-0.64,0.73,-16840
1219,1.49,-0.73,0.70,-16608
1246,1.54,-0.78,0.67,-16403
