LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
1,0.18,-0.11,0.07,4.38
11,0.18,-0.10,0.08,3.76
16,0.19,-0.09,0.08,3.65
23,0.19,-0.09,0.08,3.54
33,0.20,-0.08,0.09,3.72
42,0.20,-0.08,0.09,3.62
52,0.22,-0.08,0.09,5.00
63,0.23,-0.08,0.09,5.00
73,0.24,-0.08,0.09,5.00
82,0.25,-0.08,0.08,5.00
92,0.25,-0.09,0.07,5.00
103,0.26,-0.09,0.07,5.00
112,0.26,-0.10,0.06,5.00
122,0.26,-0.10,0.06,4.57
132,0.26,-0.09,0.05,4.05
142,0.27,-0.08,0.05,4.47
153,0.27,-0.06,0.04,3.95
162,0.28,-0.04,0.04,3.70
172,0.28,-0.02,0.03,5.00
185,0.29,-0.01,0.02,5.00
192,0.29,0.01,0.01,5.00
202,0.30,0.02,0.01,5.00
212,0.30,0.02,0.01,5.00
222,0.30,0.03,0.00,5.00
233,0.30,0.03,-0.00,5.00
242,0.30,0.04,-0.00,5.00
252,0.30,0.05,-0.01,4.67
262,0.30,0.06,-0.01,4.77
272,0.30,0.06,-0.01,4.68
282,0.30,0.07,-0.01,5.00
292,0.30,0.07,-0.01,4.66
302,0.30,0.07,-0.01,4.83
311,0.29,0.06,-0.01,4.76
322,0.28,0.06,-0.01,4.89
332,0.27,0.05,-0.01,5.00
342,0.26,0.04,-0.01,4.23
352,0.25,0.04,-0.01,3.91
362,0.24,0.03,-0.00,4.32
372,0.24,0.03,0.00,4.25
385,0.23,0.03,0.01,5.00
392,0.23,0.03,0.02,5.00
402,0.23,0.03,0.02,5.00
412,0.22,0.03,0.02,5.00
422,0.22,0.03,0.03,4.86
432,0.21,0.03,0.03,4.55
441,0.20,0.03,0.03,4.69
452,0.19,0.03,0.03,4.47
462,0.18,0.02,0.03,4.32
471,0.17,0.02,0.03,4.09
481,0.16,0.02,0.04,4.13
492,0.16,0.02,0.04,4.03
528,0.16,0.03,0.05,4.24
563,0.15,0.03,0.04,3.81
600,0.12,0.02,0.04,4.16
638,0.06,-0.03,0.01,4.76
676,0.00,-0.09,-0.03,5.00
712,-0.11,-0.20,-0.06,5.00
750,-0.22,-0.34,-0.06,5.00
788,-0.34,-0.46,-0.03,5.00
828,-0.46,-0.57,0.02,5.00
865,-0.54,-0.64,0.08,5.00
902,-0.66,-0.73,0.19,5.00
940,-0.75,-0.78,0.31,5.00
977,-0.81,-0.81,0.44,5.00
1015,-0.88,-0.83,0.55,5.00
1052,-1.00,-0.86,0.71,5.00
1090,-1.12,-0.86,0.85,5.00
1128,-1.28,-0.86,0.99,5.00
1165,-1.36,-0.87,1.06,5.00
1201,-1.37,-0.85,1.10,5.00
1239,-1.34,-0.84,1.10,5.00
1277,-1.21,-0.85,1.07,4.72
1315,-1.05,-0.84,0.99,5.00
1352,-0.79,-0.83,0.86,5.00
1390,-0.58,-0.80,0.73,5.00
1428,-0.43,-0.74,0.59,5.00
1465,-0.29,-0.66,0.48,5.00
1503,-0.22,-0.59,0.40,5.00
1542,-0.15,-0.46,0.30,5.00
1580,-0.07,-0.34,0.23,5.00
1619,0.00,-0.21,0.16,5.00
1657,0.07,-0.08,0.12,5.00
1695,0.13,0.01,0.09,5.00
1731,0.20,0.12,0.06,5.00
1769,0.26,0.20,0.05,5.00
1808,0.29,0.25,0.04,5.00
1845,0.32,0.29,0.01,5.00
1883,0.34,0.33,-0.01,5.00
1919,0.33,0.37,-0.07,5.00
1957,0.27,0.39,-0.19,5.00
1996,0.12,0.33,-0.34,5.00
2034,-0.01,0.23,-0.42,5.00
2070,-0.20,0.08,-0.48,4.70
2108,-0.38,-0.08,-0.51,5.00
2145,-0.53,-0.22,-0.53,5.00
2184,-0.62,-0.29,-0.52,5.00
2220,-0.71,-0.36,-0.52,5.00
2256,-0.80,-0.43,-0.50,5.00
2294,-0.84,-0.45,-0.48,5.00
2333,-0.85,-0.46,-0.47,4.57
2369,-0.86,-0.47,-0.46,4.13
